Team ID,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
db3b9613,es Atlético Madrid,15.83,5.67,35.8,0.04,0.12
206d90db,es Barcelona,15.0,5.5,36.7,0.13,0.36
054efa67,de Bayern Munich,16.7,7.2,43.1,0.12,0.28
add600ae,de Dortmund,12.12,3.38,27.8,0.11,0.41
18050b20,dk FC Copenhagen,9.0,2.67,29.6,0.02,0.06
d609edc0,it Inter,12.77,4.77,37.3,0.11,0.29
b8fd03ef,eng Manchester City,15.08,6.54,43.4,0.15,0.34
d48ad4ff,it Napoli,16.7,6.3,37.7,0.13,0.35
e2d8892c,fr Paris S-G,12.38,5.12,41.4,0.14,0.34
5e876ee6,pt Porto,13.87,4.75,34.2,0.08,0.24
acbb6a5b,de RB Leipzig,11.0,4.25,38.6,0.15,0.38
53a2f082,es Real Madrid,15.33,6.17,40.2,0.13,0.31
