Player ID,Player,Pos,Squad,GA90,Save%,SoTA
663e080e,Janis Blaswich,GK,de RB Leipzig,1.87,71.0,31
93fffbcf,Diogo Costa,GK,pt Porto,1.0,81.6,38
1840e36d,Thibaut Courtois,GK,es Real Madrid,1.1,79.2,53
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,1.25,74.3,35
3bb7b8b4,Ederson,GK,eng Manchester City,0.36,90.3,31
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,2.25,75.0,32
3f034750,Ivo Grbić,GK,es Atlético Madrid,2.0,60.0,5
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,2.81,25.0,8
cd59b9df,Gregor Kobel,GK,de Dortmund,0.57,89.5,19
3061e1ec,Andriy Lunin,GK,es Real Madrid,1.0,60.0,5
9413b19f,Alex Meret,GK,it Napoli,0.8,76.7,30
b56dd813,Alexander Meyer,GK,de Dortmund,1.11,76.5,17
8778c910,Manuel Neuer,GK,de Bayern Munich,0.0,100.0,9
ee8508c0,Jan Oblak,GK,es Atlético Madrid,1.4,72.7,22
e9c0c1b2,André Onana,GK,it Inter,0.85,80.7,57
c1242d4e,Stefan Ortega,GK,eng Manchester City,0.5,83.3,6
cc1c5035,Iñaki Peña,GK,es Barcelona,2.0,87.5,8
4535e4bb,Mathew Ryan,GK,dk FC Copenhagen,1.5,50.0,6
420c18a1,Yann Sommer,GK,de Bayern Munich,1.0,76.5,17
6f51e382,Marc-André ter Stegen,GK,es Barcelona,2.0,54.5,22
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,0.67,80.0,10
