Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
b96b595c,Francesco Acerbi,DF,it Inter,0.78,0.2,25.0,0.0,0.0
501055d8,Karim Adeyemi,"FW,MF",de Dortmund,2.63,0.72,27.3,0.18,0.67
89ac64a6,Manuel Akanji,DF,eng Manchester City,0.67,0.38,57.1,0.14,0.25
eaeca114,Nathan Aké,DF,eng Manchester City,0.59,0.15,25.0,0.0,0.0
05439de2,David Alaba,DF,es Real Madrid,0.63,0.38,60.0,0.0,0.0
4601e194,Jordi Alba,DF,es Barcelona,0.0,0.0,,,
f4290206,Marcos Alonso,DF,es Barcelona,0.67,0.22,33.3,0.33,1.0
15ab5a2b,Julián Álvarez,FW,eng Manchester City,2.66,1.14,42.9,0.21,0.5
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0,,,
2bef2bca,Ronald Araújo,DF,es Barcelona,1.0,1.0,100.0,0.0,0.0
e2ae54db,Hákon Arnar Haraldsson,FW,dk FC Copenhagen,2.42,1.21,50.0,0.13,0.25
45af8a54,Marco Asensio,"FW,MF",es Real Madrid,3.33,1.39,41.7,0.25,0.6
0fdcef0e,Kristjan Asllani,MF,it Inter,0.7,0.7,100.0,0.0,0.0
5ccc9672,Alejandro Balde,DF,es Barcelona,0.53,0.0,0.0,0.0,
88ce7ddc,Roony Bardghji,FW,dk FC Copenhagen,2.76,0.92,33.3,0.0,0.0
6928979a,Nicolò Barella,MF,it Inter,1.82,0.45,25.0,0.15,0.6
45736cec,Pablo Barrios,MF,es Atlético Madrid,0.0,0.0,,,
75b86fb3,Alessandro Bastoni,DF,it Inter,0.37,0.09,25.0,0.0,0.0
e3756e72,Raoul Bellanova,"DF,MF",it Inter,0.0,0.0,,,
f874dd44,Héctor Bellerín,DF,es Barcelona,0.5,0.5,100.0,0.0,0.0
57d88cf9,Jude Bellingham,MF,de Dortmund,1.57,0.57,36.4,0.36,1.0
70d74ece,Karim Benzema,FW,es Real Madrid,4.23,2.18,51.4,0.11,0.22
433dc9a2,Juan Bernat,DF,fr Paris S-G,0.0,0.0,,,
505486d6,Victor Bernth Kristiansen,"DF,MF",dk FC Copenhagen,0.37,0.0,0.0,0.0,
663e080e,Janis Blaswich,GK,de RB Leipzig,0.0,0.0,,,
08fe932d,Nicolai Boilesen,DF,dk FC Copenhagen,0.0,0.0,,,
4d1c4a5d,Gonçalo Borges,"MF,FW",pt Porto,2.31,0.0,0.0,0.0,
a167537f,Julian Brandt,"MF,FW",de Dortmund,2.27,0.57,25.0,0.08,0.33
33b8d077,Marcelo Brozović,MF,it Inter,0.66,0.0,0.0,0.0,
5ab0ea87,Sergio Busquets,MF,es Barcelona,0.62,0.0,0.0,0.0,
10745192,Jamie Bynoe-Gittens,MF,de Dortmund,0.0,0.0,,,
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,1.46,0.45,30.8,0.08,0.25
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,0.5,0.12,25.0,0.0,0.0
a65ce836,Emre Can,MF,de Dortmund,0.96,0.32,33.3,0.0,0.0
bd6351cd,João Cancelo,DF,de Bayern Munich,0.0,0.0,,,
bd6351cd,João Cancelo,DF,eng Manchester City,1.91,0.48,25.0,0.0,0.0
707b98f1,Valentin Carboni,FW,it Inter,0.0,0.0,,,
4a5839fa,Fábio Cardoso,DF,pt Porto,0.75,0.0,0.0,0.0,
3ce20eda,David Carmo,DF,pt Porto,0.4,0.2,50.0,0.0,0.0
de39485a,Yannick Carrasco,"DF,MF",es Atlético Madrid,3.94,1.64,41.7,0.08,0.2
4958bfb2,Dani Carvajal,DF,es Real Madrid,0.21,0.0,0.0,0.0,
2ef08833,Marc Casado,MF,es Barcelona,0.0,0.0,,,
c0617e2b,Dani Ceballos,MF,es Real Madrid,2.09,2.09,100.0,0.0,0.0
2180c761,El Chadaille Bitshiabu,DF,fr Paris S-G,0.0,0.0,,,
1cb49278,Andreas Christensen,DF,es Barcelona,0.42,0.42,100.0,0.0,0.0
b3a712de,Viktor Claesson,"FW,MF",dk FC Copenhagen,1.31,0.56,42.9,0.0,0.0
b9beb6c5,William Clem,MF,dk FC Copenhagen,1.59,0.0,0.0,0.0,
042e8a49,Kingsley Coman,"FW,DF",de Bayern Munich,2.36,0.84,35.7,0.07,0.2
6fee9966,Rodrigo Conceição,DF,pt Porto,0.0,0.0,,,
c693347d,Andreas Cornelius,FW,dk FC Copenhagen,0.83,0.0,0.0,0.0,
01eb744d,Ángel Correa,"FW,MF",es Atlético Madrid,2.57,1.14,44.4,0.0,0.0
45b9b619,Joaquín Correa,FW,it Inter,1.48,0.89,60.0,0.2,0.33
7b4c1f6e,Bruno Xavier Almeida Costa,MF,pt Porto,1.23,0.0,0.0,0.0,
93fffbcf,Diogo Costa,GK,pt Porto,0.0,0.0,,,
9dff291c,Soumaïla Coulibaly,DF,de Dortmund,0.0,0.0,,,
1840e36d,Thibaut Courtois,GK,es Real Madrid,0.0,0.0,,,
dc62b55d,Matheus Cunha,"FW,MF",es Atlético Madrid,3.69,0.74,20.0,0.0,0.0
44eb9093,Danilo D'Ambrosio,DF,it Inter,1.12,0.56,50.0,0.0,0.0
06a1d642,Mohammed Daramy,FW,dk FC Copenhagen,0.41,0.0,0.0,0.0,
96e0490d,Matteo Darmian,DF,it Inter,0.22,0.0,0.0,0.0,
d781d855,Alphonso Davies,DF,de Bayern Munich,0.75,0.3,40.0,0.0,0.0
e46012d4,Kevin De Bruyne,MF,eng Manchester City,2.01,0.88,43.8,0.13,0.29
162efffd,Rodrigo De Paul,MF,es Atlético Madrid,1.76,1.41,80.0,0.2,0.25
b19db005,Ousmane Dembélé,FW,es Barcelona,2.18,1.09,50.0,0.1,0.2
230a2fac,Giovanni Di Lorenzo,DF,it Napoli,1.32,0.51,38.5,0.15,0.4
fc62f087,Abdou Diallo,"DF,MF",de RB Leipzig,0.4,0.0,0.0,0.0,
31c69ef1,Rúben Dias,DF,eng Manchester City,1.12,0.43,38.5,0.08,0.2
f179ee11,Kevin Diks,DF,dk FC Copenhagen,0.81,0.0,0.0,0.0,
970b8574,Federico Dimarco,DF,it Inter,1.61,0.25,15.4,0.0,0.0
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,0.0,0.0,,,
481c9ece,Denzel Dumfries,DF,it Inter,1.12,0.51,45.5,0.09,0.2
3bb7f478,Edin Džeko,FW,it Inter,2.51,1.2,47.8,0.17,0.36
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0,,,
5b92d896,Hugo Ekitike,"MF,FW",fr Paris S-G,2.9,2.9,100.0,0.0,0.0
cf007308,Elif Elmas,"FW,MF",it Napoli,1.26,0.32,25.0,0.0,0.0
577efaec,Stephen Eustáquio,MF,pt Porto,1.82,0.91,50.0,0.17,0.33
6f3cc2fe,Evanilson,FW,pt Porto,1.58,0.35,22.2,0.11,0.5
