Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
b96b595c,Francesco Acerbi,DF,it Inter,0.0,0.0,0.0,0.0,0.0
501055d8,Karim Adeyemi,"FW,MF",de Dortmund,0.48,0.0,0.48,0.48,0.48
89ac64a6,Manuel Akanji,DF,eng Manchester City,0.1,0.0,0.1,0.1,0.1
eaeca114,Nathan Aké,DF,eng Manchester City,0.0,0.0,0.0,0.0,0.0
05439de2,David Alaba,DF,es Real Madrid,0.0,0.0,0.0,0.0,0.0
4601e194,Jordi Alba,DF,es Barcelona,0.0,0.62,0.62,0.0,0.62
f4290206,Marcos Alonso,DF,es Barcelona,0.22,0.0,0.22,0.22,0.22
15ab5a2b,Julián Álvarez,FW,eng Manchester City,0.57,0.38,0.95,0.57,0.95
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
2bef2bca,Ronald Araújo,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
e2ae54db,Hákon Arnar Haraldsson,FW,dk FC Copenhagen,0.3,0.0,0.3,0.3,0.3
45af8a54,Marco Asensio,"FW,MF",es Real Madrid,0.83,0.28,1.11,0.83,1.11
0fdcef0e,Kristjan Asllani,MF,it Inter,0.0,0.0,0.0,0.0,0.0
5ccc9672,Alejandro Balde,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
88ce7ddc,Roony Bardghji,FW,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
6928979a,Nicolò Barella,MF,it Inter,0.27,0.0,0.27,0.27,0.27
45736cec,Pablo Barrios,MF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0
75b86fb3,Alessandro Bastoni,DF,it Inter,0.0,0.27,0.27,0.0,0.27
e3756e72,Raoul Bellanova,"DF,MF",it Inter,0.0,0.0,0.0,0.0,0.0
f874dd44,Héctor Bellerín,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
57d88cf9,Jude Bellingham,MF,de Dortmund,0.57,0.14,0.71,0.57,0.71
70d74ece,Karim Benzema,FW,es Real Madrid,0.48,0.12,0.6,0.48,0.6
433dc9a2,Juan Bernat,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0
