Team ID,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Penalty Kicks
c2e6b53b,be Antwerp,2,6,6,540,6.0,17,2.83,36,20,55.6,1,0,5,0,0.0,1,1,0,0,0.0
18bb7c10,eng Arsenal,2,7,7,630,7.0,5,0.71,20,15,75.0,4,1,2,3,42.9,0,0,0,0,
db3b9613,es Atlético Madrid,1,7,7,630,7.0,7,1.00,31,25,77.4,4,2,1,2,28.6,0,0,0,0,
206d90db,es Barcelona,2,7,7,630,7.0,7,1.00,22,15,68.2,4,1,2,2,28.6,0,0,0,0,
054efa67,de Bayern Munich,2,8,8,720,8.0,7,0.87,22,15,77.3,6,1,1,3,37.5,2,2,0,0,0.0
a77c513e,pt Benfica,1,6,6,540,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0
69d84c29,pt Braga,1,6,6,540,6.0,12,2.00,32,22,62.5,1,1,4,0,0.0,0,0,0,0,
b81aa4fa,sct Celtic,1,6,6,540,6.0,15,2.50,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0
add600ae,de Dortmund,2,7,7,630,7.0,5,0.71,26,20,88.5,3,3,1,3,42.9,3,2,1,0,33.3
18050b20,dk FC Copenhagen,1,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0
fb4ca611,nl Feyenoord,2,6,6,540,6.0,10,1.67,21,13,61.9,2,0,4,1,16.7,2,2,0,0,0.0
ecd11ca2,tr Galatasaray,1,6,6,540,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,
d609edc0,it Inter,2,7,7,630,7.0,5,0.71,25,20,80.0,4,3,0,4,57.1,0,0,0,0,
7213da33,it Lazio,1,8,8,720,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,
fd4e0f7d,fr Lens,1,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0
b8fd03ef,eng Manchester City,2,8,8,720,8.0,9,1.13,19,10,52.6,8,0,0,1,12.5,0,0,0,0,
19538871,eng Manchester Utd,1,6,6,540,6.0,15,2.50,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3
dc56fe14,it Milan,2,6,6,540,6.0,8,1.33,27,19,74.1,2,2,2,2,33.3,1,1,0,0,0.0
d48ad4ff,it Napoli,1,7,7,630,7.0,10,1.43,35,26,71.4,3,2,2,2,28.6,0,0,0,0,
b2b47a98,eng Newcastle Utd,2,6,6,540,6.0,7,1.17,32,25,81.3,1,2,3,1,16.7,1,1,0,0,0.0
e2d8892c,fr Paris S-G,1,8,8,720,8.0,9,1.13,36,27,75.0,4,2,2,3,37.5,0,0,0,0,
5e876ee6,pt Porto,1,7,7,630,7.0,8,1.14,24,17,66.7,5,0,2,2,28.6,0,0,0,0,
e334d850,nl PSV Eindhoven,1,7,7,630,7.0,11,1.57,27,16,59.3,2,4,1,1,14.3,0,0,0,0,
acbb6a5b,de RB Leipzig,2,8,8,720,8.0,12,1.50,30,19,60.0,4,1,3,0,0.0,0,0,0,0,
50f2a074,at RB Salzburg,1,6,6,540,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0
53a2f082,es Real Madrid,2,8,8,720,8.0,8,1.00,35,26,80.0,7,1,0,3,37.5,2,1,1,0,50.0
e31d1cd9,es Real Sociedad,1,8,8,720,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,
099c6eb5,rs Red Star,1,6,6,540,6.0,15,2.50,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0
ad2be733,es Sevilla,2,6,6,540,6.0,12,2.00,27,16,63.0,0,2,4,0,0.0,2,2,0,0,0.0
e89d5a28,ua Shakhtar,1,6,6,540,6.0,12,2.00,37,25,67.6,3,0,3,2,33.3,1,0,0,1,
7a41008f,de Union Berlin,1,6,6,540,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0
4b682260,ch Young Boys,2,6,6,540,6.0,13,2.17,44,31,75.0,1,1,4,1,16.7,2,2,0,0,0.0
