Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player Link
5f09991f,1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,33-193,1990,1.1,0,2,1,50.0,1.82,0.91,0.00,0.00,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt
5bc43860,2,Brenden Aaronson,us USA,MF,de Union Berlin,23-139,2000,1.5,0,3,0,0.0,1.97,0.00,0.00,,13.1,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches,https://fbref.com/en/players/5bc43860/Brenden-Aaronson
82464ce3,3,Salis Abdul Samed,gh GHA,MF,fr Lens,23-349,2000,5.5,0,2,0,0.0,0.36,0.00,0.00,,16.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed
b96b595c,4,Francesco Acerbi,it ITA,DF,it Inter,36-028,1988,4.2,0,1,0,0.0,0.24,0.00,0.00,,12.3,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,https://fbref.com/en/players/b96b595c/Francesco-Acerbi
4dd2a0be,5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,25-028,1999,6.1,0,10,2,20.0,1.63,0.33,0.00,0.00,20.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,https://fbref.com/en/players/4dd2a0be/Elias-Achouri
81442ecb,6,Marcos Acuña,ar ARG,DF,es Sevilla,32-133,1991,2.2,0,2,0,0.0,0.91,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,https://fbref.com/en/players/81442ecb/Marcos-Acuna
501055d8,7,Karim Adeyemi,de GER,FW,de Dortmund,22-051,2002,3.8,2,7,4,57.1,1.85,1.06,0.29,0.50,18.7,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches,https://fbref.com/en/players/501055d8/Karim-Adeyemi
26777636,8,Yacine Adli,fr FRA,MF,it Milan,23-224,2000,1.4,0,2,0,0.0,1.46,0.00,0.00,,25.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,https://fbref.com/en/players/26777636/Yacine-Adli
3dd738a1,9,Ruben Aguilar,fr FRA,DF,fr Lens,30-318,1993,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar
89ac64a6,10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28-234,1995,5.2,2,3,2,66.7,0.58,0.39,0.67,1.00,14.0,0,0,0,0.8,0.8,0.27,+1.2,+1.2,Matches,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
