Team ID,Squad,SCA90,GCA90
18bb7c10,eng Arsenal,22.0,3.86
db3b9613,es Atlético Madrid,23.86,3.14
206d90db,es Barcelona,27.29,3.0
054efa67,de Bayern Munich,27.87,3.12
add600ae,de Dortmund,23.0,2.14
18050b20,dk FC Copenhagen,18.25,2.12
d609edc0,it Inter,25.86,2.0
7213da33,it Lazio,20.62,1.75
b8fd03ef,eng Manchester City,39.0,5.63
d48ad4ff,it Napoli,24.86,2.29
e2d8892c,fr Paris S-G,28.75,2.5
5e876ee6,pt Porto,23.71,3.57
e334d850,nl PSV Eindhoven,28.43,2.14
acbb6a5b,de RB Leipzig,27.87,3.38
53a2f082,es Real Madrid,34.75,4.12
e31d1cd9,es Real Sociedad,23.37,1.5
