Team ID,Squad,GA90,Save%,SoTA
18bb7c10,eng Arsenal,0.71,75.0,20
db3b9613,es Atlético Madrid,1.0,77.4,31
206d90db,es Barcelona,1.0,68.2,22
054efa67,de Bayern Munich,0.87,77.3,22
add600ae,de Dortmund,0.71,88.5,26
18050b20,dk FC Copenhagen,1.75,70.5,44
d609edc0,it Inter,0.71,80.0,25
7213da33,it Lazio,1.25,67.7,31
b8fd03ef,eng Manchester City,1.13,52.6,19
d48ad4ff,it Napoli,1.43,71.4,35
e2d8892c,fr Paris S-G,1.13,75.0,36
5e876ee6,pt Porto,1.14,66.7,24
e334d850,nl PSV Eindhoven,1.57,59.3,27
acbb6a5b,de RB Leipzig,1.5,60.0,30
53a2f082,es Real Madrid,1.0,80.0,35
e31d1cd9,es Real Sociedad,0.75,76.0,25
