Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
18bb7c10,eng Arsenal,2.29,1.86,4.14,2.14,4.0
db3b9613,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43
206d90db,es Barcelona,1.71,1.71,3.43,1.71,3.43
054efa67,de Bayern Munich,1.87,1.5,3.38,1.75,3.25
add600ae,de Dortmund,1.14,1.0,2.14,1.0,2.0
18050b20,dk FC Copenhagen,1.25,0.75,2.0,1.13,1.87
d609edc0,it Inter,1.29,0.71,2.0,0.86,1.57
7213da33,it Lazio,1.0,0.62,1.62,0.75,1.37
b8fd03ef,eng Manchester City,3.0,2.25,5.25,2.62,4.87
d48ad4ff,it Napoli,1.29,0.57,1.86,1.14,1.71
e2d8892c,fr Paris S-G,1.62,1.13,2.75,1.37,2.5
5e876ee6,pt Porto,2.29,1.71,4.0,2.14,3.86
e334d850,nl PSV Eindhoven,1.14,0.71,1.86,0.86,1.57
acbb6a5b,de RB Leipzig,1.75,1.62,3.38,1.75,3.38
53a2f082,es Real Madrid,2.12,1.87,4.0,2.12,4.0
e31d1cd9,es Real Sociedad,1.0,0.62,1.62,1.0,1.62
