Player ID,Player,Pos,Squad,SCA90,GCA90
5f09991f,Patrick van Aanholt,"MF,DF",nl PSV Eindhoven,0.91,0.0
b96b595c,Francesco Acerbi,DF,it Inter,0.48,0.24
4dd2a0be,Elias Achouri,"FW,MF",dk FC Copenhagen,3.09,0.16
501055d8,Karim Adeyemi,FW,de Dortmund,3.71,0.26
89ac64a6,Manuel Akanji,"DF,MF",eng Manchester City,1.16,0.0
eaeca114,Nathan Aké,"DF,MF",eng Manchester City,3.98,0.23
05439de2,David Alaba,DF,es Real Madrid,1.08,0.36
5294a83f,Luis Alberto,MF,it Lazio,5.48,0.28
f8405304,Mohamed Ali Cho,"FW,MF",es Real Sociedad,1.37,0.0
f4290206,Marcos Alonso,"DF,FW",es Barcelona,1.29,0.0
15ab5a2b,Julián Álvarez,"MF,FW",eng Manchester City,9.8,1.45
9f1893b9,Felipe Anderson,FW,it Lazio,2.82,0.17
df525574,Peter Ankersen,DF,dk FC Copenhagen,1.55,0.19
dc7a172e,Jon Aramburu,DF,es Real Sociedad,0.0,0.0
2bef2bca,Ronald Araújo,DF,es Barcelona,1.6,0.0
00459419,Marko Arnautović,FW,it Inter,0.47,0.0
28d596a0,Kepa Arrizabalaga,GK,es Real Madrid,0.25,0.0
45af8a54,Marco Asensio,"FW,MF",fr Paris S-G,0.0,0.0
0fdcef0e,Kristjan Asllani,MF,it Inter,2.2,0.0
6f22e535,Otavio Ataide,DF,pt Porto,1.0,1.0
649b01d8,Emil Audero,GK,it Inter,0.0,0.0
3963c25b,Yann Aurel Bisseck,DF,it Inter,3.33,0.67
53cad200,César Azpilicueta,DF,es Atlético Madrid,2.03,0.68
52f7e3a7,Isaac Babadi,FW,nl PSV Eindhoven,5.29,0.0
0caa2fd4,Johan Bakayoko,FW,nl PSV Eindhoven,4.99,0.16
5ccc9672,Alejandro Balde,DF,es Barcelona,1.36,0.0
a0d55a09,Bradley Barcola,"FW,DF",fr Paris S-G,2.75,0.34
88ce7ddc,Roony Bardghji,"MF,FW",dk FC Copenhagen,2.47,0.0
6928979a,Nicolò Barella,MF,it Inter,5.61,0.47
a4e16ab4,Romário Baró,MF,pt Porto,2.86,0.0
200e89e1,Ander Barrenetxea,"FW,MF",es Real Sociedad,4.76,0.68
45736cec,Pablo Barrios,MF,es Atlético Madrid,1.82,0.61
75b86fb3,Alessandro Bastoni,DF,it Inter,2.52,0.21
437f2b00,Christoph Baumgartner,MF,de RB Leipzig,3.78,0.76
8eb55dbb,Sheraldo Becker,FW,es Real Sociedad,0.0,0.0
a39d11bc,Armel Bella Kotchap,DF,nl PSV Eindhoven,1.07,0.0
57d88cf9,Jude Bellingham,"MF,FW",es Real Madrid,6.26,1.02
8a2248b4,Walter Benítez,GK,nl PSV Eindhoven,0.29,0.0
378825c7,Ramy Bensebaini,DF,de Dortmund,2.41,0.24
b8aedf06,Lucas Beraldo,DF,fr Paris S-G,0.5,0.0
663e080e,Janis Blaswich,GK,de RB Leipzig,0.2,0.2
eed2427e,Oscar Bobb,"FW,MF",eng Manchester City,4.95,0.0
08fe932d,Nicolai Boilesen,"DF,FW",dk FC Copenhagen,0.0,0.0
4d1c4a5d,Gonçalo Borges,FW,pt Porto,0.0,0.0
403f5d20,Olivier Boscagli,DF,nl PSV Eindhoven,1.04,0.0
a167537f,Julian Brandt,"MF,FW",de Dortmund,4.7,0.0
10745192,Jamie Bynoe-Gittens,"FW,MF",de Dortmund,5.13,0.57
928a4a61,Jens Cajuste,MF,it Napoli,0.0,0.0
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,3.93,0.0
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,2.23,0.2
a65ce836,Emre Can,"MF,DF",de Dortmund,0.93,0.0
bd6351cd,João Cancelo,DF,es Barcelona,4.11,0.33
4a5839fa,Fábio Cardoso,DF,pt Porto,0.0,0.0
8d3cd59d,Carlos,"DF,FW",it Inter,1.14,0.0
3ce20eda,David Carmo,DF,pt Porto,0.75,0.0
4958bfb2,Dani Carvajal,DF,es Real Madrid,2.51,0.19
966e28d0,Fabio Carvalho,MF,de RB Leipzig,2.2,0.0
2ef08833,Marc Casado,MF,es Barcelona,3.75,0.0
3f5f38fb,Nicolò Casale,DF,it Lazio,0.0,0.0
da76bab4,Valentín Castellanos,FW,it Lazio,2.06,0.41
ba3d3bea,Danilo Cataldi,MF,it Lazio,2.25,0.56
c0617e2b,Dani Ceballos,MF,es Real Madrid,4.14,0.0
1cb49278,Andreas Christensen,"DF,MF",es Barcelona,1.48,0.0
b3a712de,Viktor Claesson,"FW,MF",dk FC Copenhagen,2.07,0.38
b9beb6c5,William Clem,MF,dk FC Copenhagen,0.0,0.0
042e8a49,Kingsley Coman,FW,de Bayern Munich,2.99,0.0
