Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
2,1,de Bayern Munich,6,5,1,0,12,6,6,16,A,2024
59,2,dk FC Copenhagen,6,2,2,2,8,8,0,8,A,2024
15,3,tr Galatasaray,6,1,2,3,10,13,-3,5,A,2024
17,4,eng Manchester Utd,6,1,1,4,12,15,-3,4,A,2024
5,1,eng Arsenal,6,4,1,1,16,4,12,13,B,2024
11,2,nl PSV Eindhoven,6,2,3,1,8,10,-2,9,B,2024
124,3,fr Lens,6,2,2,2,6,11,-5,8,B,2024
61,4,es Sevilla,6,0,2,4,7,12,-5,2,B,2024
21,1,es Real Madrid,6,6,0,0,16,7,9,18,C,2024
87,2,it Napoli,6,3,1,2,10,9,1,10,C,2024
86,3,pt Braga,6,1,1,4,6,12,-6,4,C,2024
125,4,de Union Berlin,6,0,2,4,6,10,-4,2,C,2024
14,1,es Real Sociedad,6,3,3,0,7,2,5,12,D,2024
7,2,it Inter,6,3,3,0,8,5,3,12,D,2024
49,3,pt Benfica,6,1,1,4,7,11,-4,4,D,2024
116,4,at RB Salzburg,6,1,1,4,4,8,-4,4,D,2024
66,1,es Atlético Madrid,6,4,2,0,17,6,11,14,E,2024
28,2,it Lazio,6,3,1,2,7,7,0,10,E,2024
110,3,nl Feyenoord,6,2,0,4,9,10,-1,6,E,2024
3,4,sct Celtic,6,1,1,4,5,15,-10,4,E,2024
93,1,de Dortmund,6,3,2,1,7,4,3,11,F,2024
44,2,fr Paris S-G,6,2,2,2,9,8,1,8,F,2024
29,3,it Milan,6,2,2,2,5,8,-3,8,F,2024
126,4,eng Newcastle Utd,6,1,2,3,6,7,-1,5,F,2024
88,1,eng Manchester City,6,6,0,0,18,7,11,18,G,2024
111,2,de RB Leipzig,6,4,0,2,13,10,3,12,G,2024
114,3,ch Young Boys,6,1,1,4,7,13,-6,4,G,2024
112,4,rs Red Star,6,0,1,5,7,15,-8,1,G,2024
39,1,es Barcelona,6,4,0,2,12,6,6,12,H,2024
22,2,pt Porto,6,4,0,2,15,8,7,12,H,2024
40,3,ua Shakhtar,6,3,0,3,10,12,-2,9,H,2024
127,4,be Antwerp,6,1,0,5,6,17,-11,3,H,2024
