goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
8,4,0,120,46.69,3,60.0,84,58.74,15,11,84.11,123,46.95,1929,21,24,40,23,0,0,0,18,3,0,0,0,0,391,15,757,68,27,31.76,19,73.08,5,2,14,8,66,28,17,12.12,4,10,10.46,0,0,1,Leroy Sané,FC Bayern München
27,2,0,58,43.94,22,42.31,16,44.44,9,5,72.09,80,43.48,2131,33,8,37,24,0,0,0,23,4,0,0,0,0,172,9,341,22,6,27.27,34,57.63,4,13,10,16,106,49,29,25.47,2,9,21.31,0,0,0,Harry Kane,FC Bayern München
6,5,0,132,57.14,15,53.57,57,58.76,22,8,81.15,147,56.76,1894,54,17,32,23,0,0,0,20,2,0,0,0,0,311,9,736,51,18,36.0,37,66.07,9,2,13,3,57,26,18,10.53,2,1,5.12,0,0,0,Xavi Simons,RB Leipzig
1,3,0,33,55.93,2,28.57,9,56.25,18,2,87.74,35,53.03,703,6,10,6,8,0,0,0,4,1,0,0,0,0,103,3,458,8,4,25.0,28,63.64,8,9,3,0,7,3,1,14.29,1,0,0.74,0,0,0,Ian Maatsen,Borussia Dortmund
7,2,0,134,51.54,5,35.71,66,58.41,36,3,81.97,139,50.73,1422,32,24,39,19,0,0,0,13,2,0,0,0,0,245,6,500,28,1,9.09,4,66.67,15,3,18,8,43,18,16,16.28,1,2,5.8,0,0,0,Jamal Musiala,FC Bayern München
0,1,0,2,40.0,4,100.0,0,0.0,0,0,83.18,6,66.67,1736,2,2,0,20,70,49,21,24,1,5,2,9,3,17,0,643,0,0,0.0,129,50.39,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Gregor Kobel,Borussia Dortmund
17,4,0,60,43.48,16,43.24,13,32.5,2,4,68.42,76,43.43,1892,46,28,22,24,0,0,0,24,2,0,0,0,0,104,8,221,24,6,26.09,5,55.56,5,8,3,16,85,42,17,20.0,2,21,14.93,0,0,0,Loïs Openda,RB Leipzig
3,1,0,56,47.06,4,44.44,27,48.21,11,3,88.08,60,46.88,1046,18,6,20,15,0,0,0,10,0,0,0,0,0,209,4,458,27,14,25.93,11,68.75,2,4,8,3,33,7,11,9.09,3,1,2.73,0,0,0,Kingsley Coman,FC Bayern München
1,1,1,40,57.14,4,30.77,1,16.67,26,3,91.3,44,53.01,1351,13,7,10,18,0,0,0,14,3,0,0,0,0,345,4,1186,43,36,31.58,58,67.44,12,12,8,0,18,6,6,5.56,0,1,0.66,1,0,0,Joshua Kimmich,FC Bayern München
10,5,0,62,45.59,6,27.27,35,51.47,8,0,79.05,68,43.04,1475,19,10,27,21,0,0,0,19,1,0,0,0,0,157,8,317,20,7,21.88,7,50.0,2,7,4,4,56,29,16,17.86,0,3,6.94,0,0,1,Donyell Malen,Borussia Dortmund
2,3,0,34,42.5,32,58.18,5,50.0,20,4,88.76,66,48.89,1480,10,16,9,20,0,0,0,21,2,0,0,0,0,241,7,924,22,1,25.0,27,51.92,20,31,16,2,42,11,13,4.76,1,1,3.29,0,1,1,Leon Goretzka,FC Bayern München
2,0,0,71,68.93,47,57.32,4,50.0,43,0,89.26,118,63.78,2024,25,9,3,23,0,0,0,27,2,0,0,0,0,179,1,1654,9,0,0.0,124,57.94,27,79,16,3,24,6,7,8.33,0,0,2.19,1,2,0,Nico Schlotterbeck,Borussia Dortmund
