goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
16,5,1,131,56.22,25,51.02,39,57.35,31,3,89.17,156,55.32,1876,63,26,33,22,0,0,0,12,2,0,0,0,0,375,4,1037,37,2,11.76,35,83.33,19,10,15,7,52,28,12,30.77,0,4,10.35,0,0,0,Jude Bellingham,Real Madrid
1,3,0,81,62.31,5,83.33,3,60.0,45,7,94.45,86,63.24,1715,33,16,5,26,0,0,0,14,2,0,0,0,0,477,8,1804,53,31,32.29,181,84.58,12,3,27,0,33,11,10,3.03,2,3,1.54,0,1,1,Toni Kroos,Real Madrid
7,2,0,102,57.3,7,33.33,42,56.76,18,3,81.52,109,54.77,1689,42,15,22,21,0,0,0,17,2,0,0,0,0,219,9,428,45,27,23.89,20,74.07,9,4,10,4,43,18,12,16.28,1,8,3.42,0,1,0,Takefusa Kubo,Real Sociedad
5,3,0,67,54.92,7,31.82,21,60.0,19,6,89.3,74,51.39,2191,28,10,14,27,0,0,0,29,3,0,0,0,0,448,13,1469,75,30,25.21,54,65.06,15,11,17,4,31,11,8,16.13,0,4,4.85,0,0,0,İlkay Gündoğan,Barcelona
2,7,0,77,59.23,23,57.5,13,61.9,42,0,93.03,100,58.82,1592,22,18,16,19,0,0,0,20,4,0,0,0,0,397,4,1508,21,10,41.67,46,67.65,13,27,11,0,7,4,2,28.57,1,1,0.7,0,1,1,Frenkie de Jong,Barcelona
11,3,0,63,52.07,9,27.27,22,64.71,24,6,83.08,72,46.75,1953,17,10,17,24,0,0,0,16,6,0,0,0,0,250,9,771,35,23,25.0,44,77.19,9,15,21,10,60,27,18,18.33,2,14,9.76,0,0,0,Antoine Griezmann,Atlético Madrid
1,2,0,67,60.36,11,61.11,17,51.52,36,4,91.44,78,60.47,2205,14,12,9,27,0,0,0,12,2,0,0,0,0,469,6,1475,36,6,25.0,63,65.63,34,18,8,4,42,13,11,2.38,2,0,2.68,0,0,0,Federico Valverde,Real Madrid
1,4,0,91,63.64,5,71.43,23,65.71,26,4,86.67,96,64.0,1477,43,17,8,24,0,0,0,11,4,0,0,0,0,274,10,962,32,10,27.78,66,73.33,8,11,18,2,22,9,4,4.55,1,1,1.48,0,1,0,Rodrigo de Paul,Atlético Madrid
3,2,0,123,62.44,2,16.67,45,65.22,43,3,83.0,125,59.81,1382,35,15,16,26,0,0,0,21,2,0,0,0,0,255,9,503,22,16,29.09,10,76.92,13,9,19,3,40,14,10,7.5,4,3,4.26,0,0,0,Lamine Yamal,Barcelona
2,4,0,119,59.5,18,43.9,47,64.38,50,3,83.64,137,56.85,1785,22,25,17,23,0,0,0,20,5,0,0,0,0,260,9,951,27,12,20.69,56,57.14,19,30,14,1,22,7,10,9.09,0,4,1.28,1,0,0,João Cancelo,Barcelona
8,2,0,95,48.47,5,22.73,49,45.79,10,5,90.11,100,45.87,1867,36,10,21,27,0,0,0,14,2,0,0,0,0,390,3,683,36,9,32.14,6,85.71,7,3,12,9,72,26,17,11.11,1,12,9.23,0,0,0,Rodrygo,Real Madrid
4,2,1,44,51.76,8,66.67,16,55.17,11,6,80.05,52,53.61,879,17,11,7,19,0,0,0,9,1,0,0,0,0,155,8,317,29,20,37.04,26,65.0,6,6,10,9,39,17,5,10.26,2,5,5.24,0,0,0,Raphinha,Barcelona
2,1,0,37,45.12,5,45.45,10,47.62,13,4,90.48,42,45.16,1057,14,15,14,22,0,0,0,8,1,0,0,0,0,286,7,836,35,12,20.69,66,79.52,11,5,6,0,15,7,1,13.33,2,2,0.83,0,0,1,Luka Modrić,Real Madrid
2,3,0,50,53.19,0,0.0,11,47.83,22,2,86.68,50,51.55,1105,17,9,9,16,0,0,0,13,3,0,0,0,0,226,8,677,28,4,44.44,29,72.5,10,4,14,3,11,4,4,18.18,0,1,2.14,0,0,0,Pedri,Barcelona
9,3,0,106,45.89,1,12.5,54,42.86,15,4,78.49,107,44.77,1370,37,18,28,18,0,0,0,8,1,0,0,0,0,185,4,343,20,3,7.14,25,67.57,1,0,8,11,51,23,13,17.65,0,6,7.5,1,1,0,Vinícius Júnior,Real Madrid
3,2,1,60,50.85,12,46.15,7,50.0,40,2,87.97,72,50.0,1652,14,19,16,21,0,0,0,10,1,0,0,0,0,214,2,841,18,6,14.63,31,58.49,20,27,17,1,13,8,1,23.08,1,2,0.93,1,2,1,Daniel Carvajal,Real Madrid
3,1,0,6,54.55,2,28.57,0,0.0,5,1,91.83,8,44.44,357,1,2,2,6,0,0,0,6,0,0,0,0,0,45,0,191,4,3,37.5,6,85.71,2,0,2,1,6,4,0,50.0,1,1,1.54,0,0,0,Sergi Roberto,Barcelona
1,1,0,22,68.75,10,55.56,4,50.0,15,1,88.65,32,64.0,410,3,6,0,7,0,0,0,2,1,0,0,0,0,32,1,203,3,1,50.0,5,31.25,9,13,0,0,3,2,0,33.33,0,0,0.32,0,0,0,Reinildo Mandava,Atlético Madrid
0,1,0,1,50.0,4,100.0,0,0.0,0,0,87.11,5,83.33,1350,2,0,0,15,33,25,8,8,1,20,8,7,9,3,0,331,0,0,0.0,41,47.67,0,16,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Andriy Lunin,Real Madrid
