goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
21,3,0,84,48.28,0,0.0,49,52.69,3,4,85.48,84,47.73,1738,32,17,27,22,0,0,0,17,1,0,0,0,0,345,5,618,30,1,5.56,27,90.0,2,1,4,11,100,47,26,21.0,2,19,18.52,0,0,0,Kylian Mbappé,Paris Saint-Germain
3,2,0,64,47.76,8,47.06,19,48.72,25,4,89.03,72,47.68,1403,20,16,23,18,0,0,0,13,1,0,0,0,0,412,5,1136,28,9,20.0,32,54.24,11,17,13,0,32,9,11,9.38,2,2,2.89,0,1,0,Achraf Hakimi,Paris Saint-Germain
5,0,0,68,48.57,2,20.0,26,63.41,30,2,90.81,70,46.67,1680,12,15,19,23,0,0,0,14,1,0,0,0,0,436,2,1225,32,9,25.71,55,73.33,20,16,25,2,34,14,7,14.71,0,1,2.36,0,2,0,Vitinha,Paris Saint-Germain
1,0,0,94,50.0,1,14.29,54,46.15,15,7,81.62,95,48.72,1264,25,6,19,21,0,0,0,9,0,0,0,0,0,356,9,635,50,19,23.46,27,71.05,4,2,6,5,34,11,10,2.94,2,3,3.19,0,1,0,Ousmane Dembélé,Paris Saint-Germain
0,0,0,21,72.41,19,47.5,1,100.0,17,1,94.62,40,57.97,1296,3,2,2,17,0,0,0,9,0,0,0,0,0,194,0,1443,7,0,0.0,64,59.81,16,47,5,0,3,0,2,0.0,0,1,0.4,0,0,0,Marquinhos,Paris Saint-Germain
0,0,0,0,0.0,0,0.0,0,0.0,0,0,81.72,0,0.0,258,0,0,0,3,12,7,4,2,0,1,0,0,0,1,0,76,0,0,0.0,9,36.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Arnau Tenas,Paris Saint-Germain
4,0,0,20,47.62,1,33.33,8,50.0,6,2,86.93,21,46.67,676,6,4,6,12,0,0,0,7,0,0,0,0,0,133,2,286,14,4,18.18,9,64.29,1,2,4,2,17,9,4,23.53,1,0,2.53,0,0,0,Marco Asensio,Paris Saint-Germain
1,2,0,49,49.49,1,11.11,15,55.56,19,2,89.41,50,46.3,904,15,13,13,13,0,0,0,6,0,0,0,0,0,210,3,473,19,16,23.88,15,68.18,4,1,14,1,14,4,7,7.14,0,1,0.7,0,0,0,Kang-in Lee,Paris Saint-Germain
0,1,1,2,66.67,2,100.0,1,100.0,0,0,89.23,4,80.0,1810,0,1,0,21,67,50,17,15,1,12,8,5,9,2,0,489,0,0,0.0,50,50.0,1,11,0,0,0,0,0,0.0,0,0,0.0,1,3,0,Gianluigi Donnarumma,Paris Saint-Germain
0,3,0,99,50.77,11,52.38,13,50.0,67,2,92.25,110,50.93,1430,19,29,19,18,0,0,0,9,1,0,0,0,0,171,1,881,9,0,0.0,52,80.0,31,17,35,0,6,1,2,0.0,0,0,0.45,0,1,0,Manuel Ugarte,Paris Saint-Germain
