goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
9,5,0,65,50.39,21,60.0,6,50.0,44,3,91.81,86,52.44,1879,15,41,4,23,0,0,0,9,2,0,0,0,0,345,4,1379,43,43,34.4,104,74.29,12,15,15,0,46,15,13,19.57,3,0,7.36,0,0,1,Hakan Çalhanoğlu,Inter
23,3,0,75,40.32,27,54.0,13,29.55,20,2,77.83,102,43.22,2036,42,37,40,25,0,0,0,9,3,0,0,0,0,181,4,467,25,2,18.18,17,60.71,18,7,8,9,79,36,18,29.11,3,9,14.6,0,0,0,Lautaro Martínez,Inter
9,6,0,160,52.12,10,38.46,71,50.71,26,4,85.87,170,51.05,1998,65,16,39,25,0,0,0,23,5,0,0,0,0,281,8,693,45,17,23.29,49,70.0,12,6,24,11,91,31,34,9.89,2,3,8.62,0,0,0,Khvicha Kvaratskhelia,Napoli
1,5,0,60,57.14,34,60.71,7,58.33,32,0,90.42,94,58.39,1648,23,24,6,20,0,0,0,8,2,0,0,0,0,209,9,1133,17,12,21.82,104,67.97,19,33,13,1,12,4,3,8.33,1,0,1.01,0,0,0,Alessandro Bastoni,Inter
4,0,0,48,57.83,4,36.36,4,28.57,30,6,83.99,52,55.32,1517,14,7,5,22,0,0,0,9,3,0,0,0,0,200,12,619,44,42,28.57,32,54.24,8,21,13,2,34,13,5,11.76,0,2,2.34,1,0,0,Federico Dimarco,Inter
6,2,1,71,49.31,4,30.77,26,48.15,19,5,83.1,75,47.77,1635,27,10,17,26,0,0,0,15,5,0,0,0,0,331,8,664,50,24,28.57,46,64.79,10,7,18,2,53,11,20,11.32,2,2,5.44,0,0,0,Matteo Politano,Napoli
10,3,0,69,56.1,49,55.68,27,72.97,15,7,73.91,118,55.92,1867,27,21,22,25,0,0,0,9,2,0,0,0,0,131,3,323,19,5,35.71,6,46.15,4,12,6,10,61,23,14,16.39,1,11,11.84,0,0,0,Marcus Thuram,Inter
1,5,0,78,47.27,18,38.3,13,34.21,41,5,87.48,96,45.28,2340,25,19,18,26,0,0,0,25,5,0,0,0,0,430,5,1440,40,17,17.71,77,71.3,17,28,28,1,23,5,5,4.35,1,3,2.07,0,0,2,Giovanni Di Lorenzo,Napoli
2,4,0,90,53.57,13,48.15,15,46.88,53,7,88.02,103,52.82,2159,22,29,14,27,0,0,0,10,3,0,0,0,0,377,6,1080,34,5,18.52,48,70.59,23,29,19,4,33,5,9,6.06,0,2,2.97,0,0,2,Henrikh Mkhitaryan,Inter
4,6,0,62,47.33,6,28.57,15,51.72,27,4,83.5,68,44.74,1801,20,11,19,24,0,0,0,17,3,0,0,0,0,344,5,946,41,21,18.58,42,52.5,5,8,27,1,40,11,11,10.0,2,2,3.0,0,0,0,Luis Alberto,Lazio
11,2,1,30,37.5,25,47.17,6,30.0,6,3,70.07,55,41.35,1248,19,19,17,16,0,0,0,13,2,0,0,0,0,47,3,103,11,0,0.0,3,50.0,1,12,2,7,51,20,12,21.57,1,22,9.34,0,0,0,Victor Osimhen,Napoli
0,3,0,33,71.74,22,59.46,1,50.0,24,1,90.79,55,66.27,1104,8,9,0,16,0,0,0,5,2,0,0,0,0,104,0,720,7,3,18.75,43,63.24,20,25,3,1,8,5,0,0.0,1,1,0.49,0,1,0,Benjamin Pavard,Inter
0,0,0,0,0.0,0,0.0,0,0.0,0,0,75.0,0,0.0,90,0,0,0,1,2,2,0,0,0,0,1,0,1,2,0,48,0,0,0.0,10,40.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Emil Audero,Inter
2,1,0,35,67.31,48,63.16,2,66.67,18,1,90.83,83,64.84,1666,15,14,1,21,0,0,0,9,2,0,0,0,0,82,2,1089,5,1,14.29,62,63.27,24,53,3,1,13,5,4,15.38,0,3,1.05,0,0,0,Francesco Acerbi,Inter
3,5,0,113,57.36,8,44.44,40,59.7,18,0,82.9,121,56.28,1412,56,25,29,20,0,0,0,14,2,0,0,0,0,172,1,480,19,9,23.68,13,52.0,16,7,7,2,30,9,11,10.0,1,7,3.15,0,0,0,Mattia Zaccagni,Lazio
0,0,0,6,75.0,6,100.0,1,100.0,1,0,79.56,12,85.71,2430,7,0,0,27,75,52,23,25,4,14,4,6,5,16,0,658,0,0,0.0,177,52.68,0,17,2,0,0,0,0,0.0,0,0,0.0,1,0,0,Ivan Provedel,Lazio
2,3,0,33,51.56,59,63.44,5,62.5,21,0,90.22,92,58.6,1882,7,14,3,22,0,0,0,19,5,0,0,0,0,152,0,1513,8,0,0.0,135,61.36,17,60,12,3,18,6,5,11.11,1,2,1.7,0,0,0,Amir Rrahmani,Napoli
2,1,0,45,50.0,5,33.33,13,50.0,19,2,87.11,50,47.62,1590,13,11,11,23,0,0,0,18,0,0,0,0,0,303,5,818,41,19,27.54,29,47.54,8,14,11,1,21,7,6,9.52,0,0,2.01,0,0,0,Piotr Zieliński,Napoli
2,4,0,69,43.4,15,68.18,20,52.63,32,3,86.35,84,46.41,2037,17,20,19,26,0,0,0,9,3,0,0,0,0,419,4,1271,29,10,27.03,73,61.34,6,6,35,5,29,8,8,6.9,2,2,3.78,0,0,0,Nicolò Barella,Inter
0,1,0,3,100.0,0,0.0,0,0.0,2,0,85.64,3,75.0,2340,1,1,0,26,55,34,20,10,3,13,2,6,2,10,0,704,0,0,0.0,122,53.04,0,11,0,0,0,0,0,0.0,0,0,0.0,1,0,0,Yann Sommer,Inter
1,0,0,20,68.97,9,39.13,2,40.0,7,0,93.51,29,55.77,506,11,2,3,11,0,0,0,1,0,0,0,0,0,35,1,360,1,0,0.0,18,78.26,0,11,2,0,6,2,1,16.67,1,1,0.42,0,0,0,Yann Bisseck,Inter
0,3,0,45,59.21,26,60.47,7,77.78,31,1,87.4,71,59.66,966,7,7,10,15,0,0,0,8,0,0,0,0,0,130,0,534,12,8,38.1,12,50.0,12,15,12,0,6,0,2,0.0,0,1,0.27,0,0,0,Mathías Olivera,Napoli
4,0,0,44,50.0,7,31.82,13,48.15,19,3,81.46,51,46.36,1312,13,11,13,27,0,0,0,13,1,0,0,0,0,149,6,413,27,7,16.28,36,66.67,3,5,7,3,51,21,15,7.84,2,5,4.73,0,0,0,Giacomo Raspadori,Napoli
0,1,0,84,48.84,33,57.89,21,60.0,39,1,88.31,117,51.09,1832,25,26,25,23,0,0,0,17,3,0,0,0,0,341,3,1103,25,3,23.08,25,58.14,21,13,26,3,25,5,12,0.0,0,3,2.68,0,1,0,Frank Anguissa,Napoli
3,2,0,115,45.63,11,50.0,32,40.0,58,6,77.46,126,45.99,2028,25,21,22,27,0,0,0,20,4,0,0,0,0,220,8,677,27,7,18.42,19,39.58,22,18,46,3,24,5,9,12.5,0,2,2.76,0,0,0,Felipe Anderson,Lazio
3,2,0,48,49.48,28,65.12,12,50.0,19,3,79.5,76,54.29,1342,17,20,9,22,0,0,0,5,2,0,0,0,0,126,4,380,23,10,28.57,11,44.0,9,19,11,5,17,4,6,17.65,1,3,1.88,0,0,0,Denzel Dumfries,Inter
1,0,0,19,63.33,38,65.52,2,100.0,16,0,91.94,57,64.77,1312,1,7,0,21,0,0,0,3,1,0,0,0,0,25,0,696,1,0,0.0,19,54.29,20,38,5,0,9,3,3,11.11,0,0,0.56,0,0,0,Stefan de Vrij,Inter
0,1,0,10,62.5,0,0.0,1,33.33,3,2,90.7,10,62.5,149,6,2,1,7,0,0,0,0,0,0,0,0,0,15,2,78,6,4,36.36,9,90.0,0,0,1,0,4,0,2,0.0,0,1,0.13,0,0,0,Juan Cuadrado,Inter
0,3,0,85,57.43,9,34.62,14,66.67,45,1,92.22,94,54.02,2304,27,19,9,27,0,0,0,22,5,0,0,0,0,305,2,1481,16,1,33.33,63,67.02,15,18,30,0,9,3,1,0.0,0,0,0.28,0,0,0,Stanislav Lobotka,Napoli
7,4,0,72,44.44,27,38.03,30,46.15,16,2,70.18,99,42.49,1507,26,32,19,23,0,0,0,20,3,0,0,0,0,111,3,233,21,21,39.62,15,55.56,4,10,9,7,48,17,14,14.58,0,3,4.8,0,0,0,Cyril Ngonge,Napoli
0,1,0,5,31.25,0,0.0,2,33.33,1,0,90.82,5,26.32,200,2,2,2,3,0,0,0,0,2,0,0,0,0,28,1,89,8,0,0.0,7,87.5,1,1,3,0,5,2,0,0.0,0,1,0.16,0,1,0,Hamed Junior Traorè,Napoli
1,0,0,20,55.56,6,33.33,6,66.67,3,3,80.65,26,48.15,409,11,6,8,14,0,0,0,0,1,0,0,0,0,56,4,125,10,3,21.43,12,85.71,1,2,0,0,7,1,2,14.29,0,4,1.41,0,0,0,Alexis Sánchez,Inter
0,5,0,26,52.0,49,57.65,0,0.0,19,0,91.48,75,55.56,1695,10,23,0,20,0,0,0,17,3,0,0,0,0,64,0,1063,4,0,0.0,36,45.57,15,80,5,1,5,3,2,0.0,1,0,0.27,0,0,0,Alessio Romagnoli,Lazio
0,2,1,41,65.08,23,41.07,4,80.0,19,0,89.83,64,53.78,1201,19,13,1,14,0,0,0,11,2,0,0,0,0,43,0,680,3,1,100.0,63,58.88,12,49,10,0,3,1,1,0.0,0,0,0.21,0,0,0,Mario Gila Fuentes,Lazio
0,1,0,32,50.0,38,67.86,11,64.71,17,3,85.43,70,58.33,1141,4,12,11,27,0,0,0,1,1,0,0,0,0,90,5,475,12,10,27.78,25,62.5,10,28,5,1,17,5,6,0.0,1,0,0.84,0,0,0,Carlos Augusto,Inter
0,5,0,43,61.43,9,33.33,3,50.0,21,1,82.85,52,53.61,924,19,14,7,16,0,0,0,10,3,0,0,0,0,137,2,575,21,14,28.0,56,54.9,11,14,5,1,5,2,0,0.0,0,1,0.15,0,0,0,Mário Rui,Napoli
1,3,0,13,52.0,6,40.0,0,0.0,9,0,89.03,19,47.5,1025,4,6,0,13,0,0,0,7,1,0,0,0,0,35,0,682,1,0,0.0,75,60.0,5,26,6,0,2,1,0,50.0,0,0,0.36,0,0,0,Patric,Lazio
1,1,0,21,61.76,2,28.57,3,60.0,5,2,93.29,23,56.1,527,13,3,2,16,0,0,0,1,1,0,0,0,0,52,2,389,4,2,7.41,29,67.44,9,6,6,0,11,3,0,9.09,0,0,0.5,0,0,0,Kristjan Asllani,Inter
0,0,0,0,0.0,4,100.0,0,0.0,0,0,81.36,4,100.0,1784,0,0,0,20,43,32,11,20,3,4,5,9,5,3,0,419,0,0,0.0,73,43.71,0,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Alex Meret,Napoli
0,5,0,32,53.33,34,50.75,0,0.0,26,0,90.7,66,51.97,1397,6,20,2,16,0,0,0,15,2,0,0,0,0,62,1,1053,3,0,0.0,64,59.26,11,46,7,0,3,0,2,0.0,0,0,0.41,0,0,0,Juan Jesus,Napoli
0,1,0,3,42.86,1,100.0,0,0.0,1,0,86.3,4,50.0,73,2,1,0,2,0,0,0,0,0,0,0,0,0,16,0,63,0,0,0.0,4,66.67,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Diego Demme,Napoli
1,3,0,26,68.42,31,65.96,1,50.0,19,0,88.42,57,67.06,1087,8,8,2,18,0,0,0,12,2,0,0,0,0,56,0,756,3,0,0.0,31,40.26,12,40,3,0,4,1,0,25.0,0,1,0.49,0,0,0,Leo Østigård,Napoli
0,0,0,1,100.0,3,100.0,0,0.0,1,0,80.25,4,100.0,630,1,0,0,7,16,8,8,6,2,5,3,2,3,1,0,191,0,0,0.0,49,52.13,1,4,0,0,1,0,0,0.0,0,0,0.02,0,0,0,Pierluigi Gollini,Napoli
