Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,SCA90,GCA90,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,GA90,Save%,SoTA
19c3f8c4,nl Ajax,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,34.4,0.16,0.45,2.67,62.2,37
db3b9613,es Atlético Madrid,0.67,0.5,1.17,0.67,1.17,28.0,1.17,15.83,5.67,35.8,0.04,0.12,1.5,70.4,27
206d90db,es Barcelona,2.0,1.67,3.67,2.0,3.67,27.67,3.83,15.0,5.5,36.7,0.13,0.36,2.0,63.3,30
054efa67,de Bayern Munich,2.1,1.9,4.0,2.0,3.9,30.2,3.9,16.7,7.2,43.1,0.12,0.28,0.6,83.3,36
a77c513e,pt Benfica,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,36.1,0.15,0.42,1.3,67.7,31
b81aa4fa,sct Celtic,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,35.4,0.04,0.1,2.5,58.1,31
cff3d9bb,eng Chelsea,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,33.6,0.07,0.2,0.9,75.7,37
f1e6c5f1,be Club Brugge,1.0,0.87,1.87,0.87,1.75,14.63,1.87,8.37,2.5,29.9,0.1,0.35,1.37,80.0,45
edd0d381,hr Dinamo Zagreb,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,36.4,0.07,0.2,1.83,77.1,35
add600ae,de Dortmund,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,27.8,0.11,0.41,0.87,83.3,36
f0ac8ee6,de Eint Frankfurt,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,34.7,0.08,0.23,1.62,73.2,41
18050b20,dk FC Copenhagen,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,29.6,0.02,0.06,2.0,71.1,38
d609edc0,it Inter,1.46,1.31,2.77,1.38,2.69,21.62,2.69,12.77,4.77,37.3,0.11,0.29,0.85,80.7,57
e0652b02,it Juventus,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,32.1,0.12,0.36,2.17,65.6,32
c7a9f859,de Leverkusen,0.67,0.67,1.33,0.67,1.33,23.83,1.33,13.5,4.5,33.3,0.05,0.15,1.33,75.0,24
822bd0ba,eng Liverpool,2.37,1.87,4.25,2.25,4.12,27.75,3.87,15.75,6.87,43.7,0.14,0.33,1.5,60.7,28
187832f5,il Maccabi Haifa,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,27.6,0.08,0.29,3.5,50.0,42
b8fd03ef,eng Manchester City,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,43.4,0.15,0.34,0.38,89.2,37
5725cc7b,fr Marseille,1.33,1.0,2.33,1.17,2.17,23.17,1.83,13.17,3.83,29.1,0.09,0.3,1.33,60.0,20
dc56fe14,it Milan,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,31.1,0.09,0.29,0.92,80.8,52
d48ad4ff,it Napoli,2.6,2.0,4.6,2.2,4.2,31.5,4.7,16.7,6.3,37.7,0.13,0.35,0.8,76.7,30
e2d8892c,fr Paris S-G,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,41.4,0.14,0.34,1.25,74.3,35
5e876ee6,pt Porto,1.5,0.87,2.37,1.13,2.0,24.12,2.25,13.87,4.75,34.2,0.08,0.24,1.0,81.6,38
86b7acd2,sct Rangers,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,23.3,0.02,0.1,3.67,60.8,51
acbb6a5b,de RB Leipzig,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,38.6,0.15,0.38,2.12,61.5,39
50f2a074,at RB Salzburg,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,32.1,0.05,0.15,1.5,70.0,30
53a2f082,es Real Madrid,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,40.2,0.13,0.31,1.08,77.6,58
ad2be733,es Sevilla,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,35.3,0.09,0.25,2.0,60.0,30
e89d5a28,ua Shakhtar,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,33.3,0.18,0.53,1.67,73.7,38
13dc44fd,pt Sporting CP,1.33,0.83,2.17,1.33,2.17,12.5,2.5,7.5,3.5,46.7,0.18,0.38,1.51,75.9,29
361ca564,eng Tottenham,1.0,0.87,1.87,0.87,1.75,22.12,1.87,11.87,3.62,30.5,0.07,0.24,0.87,76.7,30
02cd81bf,cz Viktoria Plzeň,0.83,0.67,1.5,0.67,1.33,18.67,1.67,11.17,3.17,28.4,0.06,0.21,4.0,56.4,55
