Team ID,Squad,SCA90,GCA90
19c3f8c4,nl Ajax,18.33,3.33
db3b9613,es Atlético Madrid,28.0,1.17
206d90db,es Barcelona,27.67,3.83
054efa67,de Bayern Munich,30.2,3.9
a77c513e,pt Benfica,25.4,4.7
b81aa4fa,sct Celtic,23.5,0.83
cff3d9bb,eng Chelsea,28.3,2.0
f1e6c5f1,be Club Brugge,14.63,1.87
edd0d381,hr Dinamo Zagreb,16.67,1.33
add600ae,de Dortmund,21.12,2.62
f0ac8ee6,de Eint Frankfurt,16.12,1.5
18050b20,dk FC Copenhagen,15.0,0.17
d609edc0,it Inter,21.62,2.69
e0652b02,it Juventus,23.33,2.67
c7a9f859,de Leverkusen,23.83,1.33
822bd0ba,eng Liverpool,27.75,3.87
187832f5,il Maccabi Haifa,23.33,2.17
b8fd03ef,eng Manchester City,28.08,4.0
5725cc7b,fr Marseille,23.17,1.83
dc56fe14,it Milan,20.17,2.08
d48ad4ff,it Napoli,31.5,4.7
e2d8892c,fr Paris S-G,22.37,3.5
5e876ee6,pt Porto,24.12,2.25
86b7acd2,sct Rangers,11.67,0.67
acbb6a5b,de RB Leipzig,19.5,2.62
50f2a074,at RB Salzburg,22.33,1.5
53a2f082,es Real Madrid,27.92,3.75
ad2be733,es Sevilla,19.83,1.5
e89d5a28,ua Shakhtar,13.33,2.33
13dc44fd,pt Sporting CP,12.5,2.5
361ca564,eng Tottenham,22.12,1.87
02cd81bf,cz Viktoria Plzeň,18.67,1.67
