Team ID,Squad,GA90,Save%,SoTA
19c3f8c4,nl Ajax,2.67,62.2,37
db3b9613,es Atlético Madrid,1.5,70.4,27
206d90db,es Barcelona,2.0,63.3,30
054efa67,de Bayern Munich,0.6,83.3,36
a77c513e,pt Benfica,1.3,67.7,31
b81aa4fa,sct Celtic,2.5,58.1,31
cff3d9bb,eng Chelsea,0.9,75.7,37
f1e6c5f1,be Club Brugge,1.37,80.0,45
edd0d381,hr Dinamo Zagreb,1.83,77.1,35
add600ae,de Dortmund,0.87,83.3,36
f0ac8ee6,de Eint Frankfurt,1.62,73.2,41
18050b20,dk FC Copenhagen,2.0,71.1,38
d609edc0,it Inter,0.85,80.7,57
e0652b02,it Juventus,2.17,65.6,32
c7a9f859,de Leverkusen,1.33,75.0,24
822bd0ba,eng Liverpool,1.5,60.7,28
187832f5,il Maccabi Haifa,3.5,50.0,42
b8fd03ef,eng Manchester City,0.38,89.2,37
5725cc7b,fr Marseille,1.33,60.0,20
dc56fe14,it Milan,0.92,80.8,52
d48ad4ff,it Napoli,0.8,76.7,30
e2d8892c,fr Paris S-G,1.25,74.3,35
5e876ee6,pt Porto,1.0,81.6,38
86b7acd2,sct Rangers,3.67,60.8,51
acbb6a5b,de RB Leipzig,2.12,61.5,39
50f2a074,at RB Salzburg,1.5,70.0,30
53a2f082,es Real Madrid,1.08,77.6,58
ad2be733,es Sevilla,2.0,60.0,30
e89d5a28,ua Shakhtar,1.67,73.7,38
13dc44fd,pt Sporting CP,1.51,75.9,29
361ca564,eng Tottenham,0.87,76.7,30
02cd81bf,cz Viktoria Plzeň,4.0,56.4,55
