Team ID,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
19c3f8c4,nl Ajax,1.83,1.5,3.33,1.67,3.17
db3b9613,es Atlético Madrid,0.67,0.5,1.17,0.67,1.17
206d90db,es Barcelona,2.0,1.67,3.67,2.0,3.67
054efa67,de Bayern Munich,2.1,1.9,4.0,2.0,3.9
a77c513e,pt Benfica,2.5,1.6,4.1,2.0,3.6
b81aa4fa,sct Celtic,0.5,0.17,0.67,0.5,0.67
cff3d9bb,eng Chelsea,1.2,0.7,1.9,1.0,1.7
f1e6c5f1,be Club Brugge,1.0,0.87,1.87,0.87,1.75
edd0d381,hr Dinamo Zagreb,0.67,0.33,1.0,0.67,1.0
add600ae,de Dortmund,1.37,1.25,2.62,1.37,2.62
f0ac8ee6,de Eint Frankfurt,0.87,0.62,1.5,0.75,1.37
18050b20,dk FC Copenhagen,0.17,0.17,0.33,0.17,0.33
d609edc0,it Inter,1.46,1.31,2.77,1.38,2.69
e0652b02,it Juventus,1.5,1.33,2.83,1.5,2.83
c7a9f859,de Leverkusen,0.67,0.67,1.33,0.67,1.33
822bd0ba,eng Liverpool,2.37,1.87,4.25,2.25,4.12
187832f5,il Maccabi Haifa,1.17,1.0,2.17,1.0,2.0
b8fd03ef,eng Manchester City,2.38,1.77,4.15,2.23,4.0
5725cc7b,fr Marseille,1.33,1.0,2.33,1.17,2.17
dc56fe14,it Milan,1.17,0.75,1.92,1.0,1.75
d48ad4ff,it Napoli,2.6,2.0,4.6,2.2,4.2
e2d8892c,fr Paris S-G,1.87,1.5,3.38,1.75,3.25
5e876ee6,pt Porto,1.5,0.87,2.37,1.13,2.0
86b7acd2,sct Rangers,0.33,0.17,0.5,0.17,0.33
acbb6a5b,de RB Leipzig,1.62,1.5,3.12,1.62,3.12
50f2a074,at RB Salzburg,0.83,0.5,1.33,0.67,1.17
53a2f082,es Real Madrid,2.17,1.75,3.92,1.92,3.67
ad2be733,es Sevilla,1.0,0.83,1.83,1.0,1.83
e89d5a28,ua Shakhtar,1.33,1.17,2.5,1.33,2.5
13dc44fd,pt Sporting CP,1.33,0.83,2.17,1.33,2.17
361ca564,eng Tottenham,1.0,0.87,1.87,0.87,1.75
02cd81bf,cz Viktoria Plzeň,0.83,0.67,1.5,0.67,1.33
