Team ID,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
c2e6b53b,be Antwerp,9.17,3.5,38.2,0.11,0.29
18bb7c10,eng Arsenal,12.29,4.43,36.0,0.17,0.48
db3b9613,es Atlético Madrid,12.71,4.43,34.8,0.17,0.48
206d90db,es Barcelona,16.0,5.14,32.1,0.11,0.33
054efa67,de Bayern Munich,15.37,4.37,28.5,0.11,0.4
a77c513e,pt Benfica,11.83,4.5,38.0,0.1,0.26
69d84c29,pt Braga,14.83,3.33,22.5,0.07,0.3
b81aa4fa,sct Celtic,7.67,3.67,47.8,0.09,0.18
add600ae,de Dortmund,13.0,4.43,34.1,0.08,0.23
18050b20,dk FC Copenhagen,10.25,3.25,31.7,0.11,0.35
fb4ca611,nl Feyenoord,15.0,5.0,33.3,0.09,0.27
ecd11ca2,tr Galatasaray,15.0,4.17,27.8,0.1,0.36
d609edc0,it Inter,14.43,4.14,28.7,0.06,0.21
7213da33,it Lazio,11.37,3.25,28.6,0.07,0.23
fd4e0f7d,fr Lens,9.83,2.5,25.4,0.08,0.33
b8fd03ef,eng Manchester City,21.0,8.0,38.1,0.13,0.33
19538871,eng Manchester Utd,11.67,4.33,37.1,0.16,0.42
dc56fe14,it Milan,15.67,4.5,28.7,0.05,0.19
d48ad4ff,it Napoli,13.43,4.0,29.8,0.09,0.29
b2b47a98,eng Newcastle Utd,10.33,4.17,40.3,0.1,0.24
e2d8892c,fr Paris S-G,16.12,5.12,31.8,0.09,0.27
5e876ee6,pt Porto,13.29,6.0,45.2,0.16,0.36
e334d850,nl PSV Eindhoven,15.29,5.0,32.7,0.06,0.17
acbb6a5b,de RB Leipzig,15.5,5.12,33.1,0.11,0.34
50f2a074,at RB Salzburg,11.83,3.67,31.0,0.04,0.14
53a2f082,es Real Madrid,18.62,6.0,32.2,0.11,0.35
e31d1cd9,es Real Sociedad,13.25,4.25,32.1,0.08,0.24
099c6eb5,rs Red Star,13.83,4.5,32.5,0.07,0.22
ad2be733,es Sevilla,8.67,2.83,32.7,0.12,0.35
e89d5a28,ua Shakhtar,11.5,4.33,37.7,0.13,0.35
7a41008f,de Union Berlin,9.5,3.33,35.1,0.11,0.3
4b682260,ch Young Boys,12.17,3.5,28.8,0.07,0.24
