Player ID,Player,Pos,Squad,SCA90,GCA90
1339039e,Liel Abada,"FW,MF",sct Celtic,2.07,0.41
8f5cdf66,Oliver Abildgaard,MF,sct Celtic,0.0,0.0
f417a1fa,Mohammad Abu Fani,MF,il Maccabi Haifa,4.5,0.23
b96b595c,Francesco Acerbi,DF,it Inter,0.68,0.1
81442ecb,Marcos Acuña,"DF,MF",es Sevilla,1.64,0.41
82e12fe7,Junior Adamu,FW,at RB Salzburg,2.2,0.44
65d62814,Antonio Adán,GK,pt Sporting CP,0.0,0.0
ee926a02,Arijan Ademi,MF,hr Dinamo Zagreb,0.57,0.0
501055d8,Karim Adeyemi,"FW,MF",de Dortmund,4.07,0.48
dcfb17f4,Amine Adli,"FW,MF",de Leverkusen,6.0,0.0
89ac64a6,Manuel Akanji,DF,eng Manchester City,1.9,0.29
eaeca114,Nathan Aké,DF,eng Manchester City,1.04,0.15
05439de2,David Alaba,DF,es Real Madrid,1.64,0.13
834d0be5,Lucas Alario,"FW,MF",de Eint Frankfurt,0.0,0.0
4601e194,Jordi Alba,DF,es Barcelona,4.32,1.23
77e84962,Thiago Alcántara,MF,eng Liverpool,3.8,0.58
cd1acf9d,Trent Alexander-Arnold,DF,eng Liverpool,4.03,0.14
4288f249,Sotiris Alexandropoulos,MF,pt Sporting CP,0.74,0.0
00f518d8,Faride Alidou,"DF,FW",de Eint Frankfurt,4.93,0.0
7a2e46a8,Alisson,GK,eng Liverpool,0.37,0.0
f4290206,Marcos Alonso,DF,es Barcelona,2.67,0.22
8ce30c57,Éder Álvarez Balanta,"MF,FW",be Club Brugge,5.63,0.0
8b3ab7ad,Edson Álvarez,MF,nl Ajax,0.51,0.0
15ab5a2b,Julián Álvarez,FW,eng Manchester City,3.61,0.76
555d5edd,Nadiem Amiri,"MF,FW",de Leverkusen,4.39,1.46
e0b113a7,Robert Andrich,MF,de Leverkusen,1.33,0.22
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0
a2ea941d,Ofri Arad,"DF,MF",il Maccabi Haifa,0.0,0.0
56413b1f,Charles Aránguiz,MF,de Leverkusen,2.51,0.0
353eb529,Henrique Araújo,FW,pt Benfica,20.0,0.0
2bef2bca,Ronald Araújo,DF,es Barcelona,0.0,0.0
b1313ec4,Scott Arfield,MF,sct Rangers,0.67,0.0
e2ae54db,Hákon Arnar Haraldsson,FW,dk FC Copenhagen,2.11,0.0
28d596a0,Kepa Arrizabalaga,GK,eng Chelsea,0.0,0.0
184ad240,Arthur,"MF,FW",pt Sporting CP,4.05,0.81
45af8a54,Marco Asensio,"FW,MF",es Real Madrid,4.72,0.83
0fdcef0e,Kristjan Asllani,MF,it Inter,2.79,0.0
92fffd91,Omer Atzili,"FW,MF",il Maccabi Haifa,3.51,0.29
d5dd5f1f,Pierre-Emerick Aubameyang,FW,eng Chelsea,1.79,0.22
32feb0cf,Lynnt Audoor,MF,be Club Brugge,0.0,0.0
f0677ed7,Fredrik Aursnes,"FW,MF",pt Benfica,3.48,0.44
10549b49,Sardar Azmoun,FW,de Leverkusen,12.86,0.0
53cad200,César Azpilicueta,DF,eng Chelsea,3.12,0.0
ca002b1a,Youri Baas,DF,nl Ajax,0.0,0.0
78f21137,Alexander Bah,DF,pt Benfica,2.89,0.69
a1232f4e,Eric Bailly,DF,fr Marseille,0.3,0.3
32e8417f,Stefan Bajcetic,MF,eng Liverpool,0.83,0.0
a8567629,Mitchel Bakker,"MF,DF",de Leverkusen,2.13,0.0
5ccc9672,Alejandro Balde,DF,es Barcelona,2.12,0.53
7c3ed041,Leonardo Balerdi,DF,fr Marseille,0.73,0.0
f449640d,Fodé Ballo-Touré,"DF,MF",it Milan,0.0,0.0
6f1d7aa8,Tommaso Barbieri,MF,it Juventus,0.0,0.0
88ce7ddc,Roony Bardghji,FW,dk FC Copenhagen,0.0,0.0
6928979a,Nicolò Barella,MF,it Inter,2.27,0.36
712dd708,Borna Barišić,DF,sct Rangers,1.35,0.0
6caffe81,Enzo Barrenechea,DF,it Juventus,0.0,0.0
45736cec,Pablo Barrios,MF,es Atlético Madrid,15.0,0.0
a36524bf,Calvin Bassey,DF,nl Ajax,0.83,0.33
29b7b767,Fortune Bassey,FW,cz Viktoria Plzeň,2.67,0.0
75b86fb3,Alessandro Bastoni,DF,it Inter,1.55,0.37
37d39918,Dylan Batubinsika,DF,il Maccabi Haifa,0.4,0.2
d1eda5f0,Martin Baturina,MF,hr Dinamo Zagreb,6.21,0.0
e3756e72,Raoul Bellanova,"DF,MF",it Inter,1.5,0.0
f874dd44,Héctor Bellerín,DF,es Barcelona,0.5,0.0
57d88cf9,Jude Bellingham,MF,de Dortmund,3.29,0.57
db092d3b,Ismaël Bennacer,MF,it Milan,2.77,0.46
3b8674e6,Rodrigo Bentancur,"MF,FW",eng Tottenham,2.86,0.18
70d74ece,Karim Benzema,FW,es Real Madrid,4.35,0.48
713c144a,Steven Berghuis,"MF,FW",nl Ajax,3.11,0.58
a29b1131,Steven Bergwijn,FW,nl Ajax,3.11,0.35
67b09a18,Alexandro Bernabei,FW,sct Celtic,16.36,0.0
17370b95,Bernardo,DF,at RB Salzburg,0.33,0.0
433dc9a2,Juan Bernat,DF,fr Paris S-G,1.31,0.33
505486d6,Victor Bernth Kristiansen,"DF,MF",dk FC Copenhagen,1.68,0.0
d00fd50a,Modou Biramé Ndiaye,MF,cz Viktoria Plzeň,2.47,0.0
6c203af0,Yves Bissouma,MF,eng Tottenham,0.0,0.0
663e080e,Janis Blaswich,GK,de RB Leipzig,0.0,0.0
691bef82,Daley Blind,DF,nl Ajax,1.76,0.44
73b9fa8a,Petar Bočkaj,"DF,FW",hr Dinamo Zagreb,4.74,0.0
08fe932d,Nicolai Boilesen,DF,dk FC Copenhagen,0.9,0.0
7713c72a,Valerii Bondar,DF,ua Shakhtar,0.17,0.0
415568b5,Artem Bondarenko,MF,ua Shakhtar,1.12,0.0
52ec54d0,Leonardo Bonucci,DF,it Juventus,0.2,0.0
4d1c4a5d,Gonçalo Borges,"MF,FW",pt Porto,4.62,0.0
c68da769,Rafael Borré,FW,de Eint Frankfurt,2.38,0.4
f6798fc3,Yassine Bounou,GK,es Sevilla,0.0,0.0
7c473e12,Dedryck Boyata,DF,be Club Brugge,0.0,0.0
a167537f,Julian Brandt,"MF,FW",de Dortmund,3.78,0.19
5fd5ed86,Gleison Bremer,DF,it Juventus,0.67,0.33
4c184730,Brian Brobbey,FW,nl Ajax,2.37,0.79
97220da2,Armando Broja,FW,eng Chelsea,3.13,0.0
33b8d077,Marcelo Brozović,MF,it Inter,2.95,0.0
3235182a,Pavel Bucha,MF,cz Viktoria Plzeň,3.21,0.0
3aca6420,Tajon Buchanan,"DF,MF",be Club Brugge,1.55,0.17
eaeefc50,Marko Bulat,MF,hr Dinamo Zagreb,6.21,0.0
5ab0ea87,Sergio Busquets,MF,es Barcelona,2.5,0.0
