Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
1339039e,Liel Abada,"FW,MF",sct Celtic,0.0,0.0,0.0,0.0,0.0
8f5cdf66,Oliver Abildgaard,MF,sct Celtic,0.0,0.0,0.0,0.0,0.0
f417a1fa,Mohammad Abu Fani,MF,il Maccabi Haifa,0.0,0.0,0.0,0.0,0.0
b96b595c,Francesco Acerbi,DF,it Inter,0.0,0.0,0.0,0.0,0.0
81442ecb,Marcos Acuña,"DF,MF",es Sevilla,0.0,0.41,0.41,0.0,0.41
82e12fe7,Junior Adamu,FW,at RB Salzburg,0.44,0.44,0.88,0.44,0.88
65d62814,Antonio Adán,GK,pt Sporting CP,0.0,0.0,0.0,0.0,0.0
ee926a02,Arijan Ademi,MF,hr Dinamo Zagreb,0.0,0.0,0.0,0.0,0.0
501055d8,Karim Adeyemi,"FW,MF",de Dortmund,0.48,0.0,0.48,0.48,0.48
dcfb17f4,Amine Adli,"FW,MF",de Leverkusen,0.0,0.0,0.0,0.0,0.0
89ac64a6,Manuel Akanji,DF,eng Manchester City,0.1,0.0,0.1,0.1,0.1
eaeca114,Nathan Aké,DF,eng Manchester City,0.0,0.0,0.0,0.0,0.0
05439de2,David Alaba,DF,es Real Madrid,0.0,0.0,0.0,0.0,0.0
834d0be5,Lucas Alario,"FW,MF",de Eint Frankfurt,0.0,0.0,0.0,0.0,0.0
4601e194,Jordi Alba,DF,es Barcelona,0.0,0.62,0.62,0.0,0.62
77e84962,Thiago Alcántara,MF,eng Liverpool,0.0,0.0,0.0,0.0,0.0
cd1acf9d,Trent Alexander-Arnold,DF,eng Liverpool,0.14,0.0,0.14,0.14,0.14
4288f249,Sotiris Alexandropoulos,MF,pt Sporting CP,0.0,0.0,0.0,0.0,0.0
00f518d8,Faride Alidou,"DF,FW",de Eint Frankfurt,1.23,0.0,1.23,1.23,1.23
7a2e46a8,Alisson,GK,eng Liverpool,0.0,0.0,0.0,0.0,0.0
f4290206,Marcos Alonso,DF,es Barcelona,0.22,0.0,0.22,0.22,0.22
8ce30c57,Éder Álvarez Balanta,"MF,FW",be Club Brugge,0.0,0.0,0.0,0.0,0.0
8b3ab7ad,Edson Álvarez,MF,nl Ajax,0.17,0.0,0.17,0.17,0.17
15ab5a2b,Julián Álvarez,FW,eng Manchester City,0.57,0.38,0.95,0.57,0.95
555d5edd,Nadiem Amiri,"MF,FW",de Leverkusen,0.0,0.73,0.73,0.0,0.73
e0b113a7,Robert Andrich,MF,de Leverkusen,0.22,0.0,0.22,0.22,0.22
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0
a2ea941d,Ofri Arad,"DF,MF",il Maccabi Haifa,0.0,0.0,0.0,0.0,0.0
56413b1f,Charles Aránguiz,MF,de Leverkusen,0.0,0.0,0.0,0.0,0.0
353eb529,Henrique Araújo,FW,pt Benfica,10.0,0.0,10.0,10.0,10.0
2bef2bca,Ronald Araújo,DF,es Barcelona,0.0,0.0,0.0,0.0,0.0
b1313ec4,Scott Arfield,MF,sct Rangers,0.34,0.0,0.34,0.34,0.34
e2ae54db,Hákon Arnar Haraldsson,FW,dk FC Copenhagen,0.3,0.0,0.3,0.3,0.3
28d596a0,Kepa Arrizabalaga,GK,eng Chelsea,0.0,0.0,0.0,0.0,0.0
184ad240,Arthur,"MF,FW",pt Sporting CP,1.62,0.0,1.62,1.62,1.62
45af8a54,Marco Asensio,"FW,MF",es Real Madrid,0.83,0.28,1.11,0.83,1.11
0fdcef0e,Kristjan Asllani,MF,it Inter,0.0,0.0,0.0,0.0,0.0
92fffd91,Omer Atzili,"FW,MF",il Maccabi Haifa,0.58,0.29,0.88,0.58,0.88
d5dd5f1f,Pierre-Emerick Aubameyang,FW,eng Chelsea,0.45,0.22,0.67,0.45,0.67
32feb0cf,Lynnt Audoor,MF,be Club Brugge,0.0,0.0,0.0,0.0,0.0
f0677ed7,Fredrik Aursnes,"FW,MF",pt Benfica,0.15,0.0,0.15,0.15,0.15
10549b49,Sardar Azmoun,FW,de Leverkusen,0.0,0.0,0.0,0.0,0.0
