Player ID,Player,Pos,Squad,GA90,Save%,SoTA
28d596a0,Kepa Arrizabalaga,GK,es Real Madrid,1.25,73.3,15
649b01d8,Emil Audero,GK,it Inter,3.0,40.0,5
f7b10c66,David von Ballmoos,GK,ch Young Boys,2.0,0.0,2
8a2248b4,Walter Benítez,GK,nl PSV Eindhoven,1.57,59.3,27
53d93280,Justin Bijlow,GK,nl Feyenoord,1.75,66.7,15
663e080e,Janis Blaswich,GK,de RB Leipzig,1.8,57.1,21
7f40333d,Jean Butez,GK,be Antwerp,3.0,50.0,30
93fffbcf,Diogo Costa,GK,pt Porto,1.14,66.7,24
ac295d9e,Marko Dmitrović,GK,es Sevilla,2.0,53.3,15
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,1.13,75.0,36
3a949a25,Martin Dúbravka,GK,eng Newcastle Utd,2.0,0.0,2
3bb7b8b4,Ederson,GK,eng Manchester City,0.83,50.0,10
78c513b3,Omri Glazer,GK,rs Red Star,2.5,71.1,45
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,1.75,70.5,44
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,1.0,66.7,9
cb4f24c6,Joe Hart,GK,sct Celtic,2.5,60.5,38
cd59b9df,Gregor Kobel,GK,de Dortmund,0.67,86.4,22
8e6d2fcd,Senne Lammens,GK,be Antwerp,2.0,83.3,6
3061e1ec,Andriy Lunin,GK,es Real Madrid,0.75,85.0,20
fcb38f57,Mike Maignan,GK,it Milan,1.36,73.1,26
ef3909cd,Matheus,GK,pt Braga,2.0,62.5,32
9413b19f,Alex Meret,GK,it Napoli,1.43,71.4,35
b56dd813,Alexander Meyer,GK,de Dortmund,1.0,100.0,4
a2abe631,Fernando Muslera,GK,tr Galatasaray,2.17,48.0,25
8778c910,Manuel Neuer,GK,de Bayern Munich,0.4,90.0,10
bdedffac,Ørjan Nyland,GK,es Sevilla,2.0,75.0,12
ee8508c0,Jan Oblak,GK,es Atlético Madrid,1.0,77.4,31
e9c0c1b2,André Onana,GK,eng Manchester Utd,2.5,62.9,35
c1242d4e,Stefan Ortega,GK,eng Manchester City,2.0,55.6,9
cc1c5035,Iñaki Peña,GK,es Barcelona,2.0,60.0,10
4b40d9ca,Nick Pope,GK,eng Newcastle Utd,1.0,86.7,30
277da414,Ivan Provedel,GK,it Lazio,1.25,67.7,31
abc06eb3,Anthony Racioppi,GK,ch Young Boys,2.2,78.6,42
466fb2c5,Aaron Ramsdale,GK,eng Arsenal,1.0,80.0,5
98ea5115,David Raya,GK,eng Arsenal,0.67,73.3,15
374ee424,Álex Remiro,GK,es Real Sociedad,0.75,76.0,25
0e09dd0d,Dmytro Riznyk,GK,ua Shakhtar,2.0,67.6,37
a70b8345,Frederik Rønnow,GK,de Union Berlin,1.67,65.5,29
60d90c55,Brice Samba,GK,fr Lens,1.83,71.9,32
6fe5c35b,Alexander Schlager,GK,at RB Salzburg,1.33,81.8,33
420c18a1,Yann Sommer,GK,it Inter,0.33,90.0,20
ac4003af,Marco Sportiello,GK,it Milan,0.0,100.0,1
6f51e382,Marc-André ter Stegen,GK,es Barcelona,0.6,75.0,12
41f0b196,Anatolii Trubin,GK,pt Benfica,1.83,73.5,34
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,1.67,66.7,12
2f18d0b8,Timon Wellenreuther,GK,nl Feyenoord,1.5,50.0,6
