Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
5f09991f,Patrick van Aanholt,"MF,DF",nl PSV Eindhoven,1.82,0.91,50.0,0.0,0.0
5bc43860,Brenden Aaronson,MF,de Union Berlin,1.97,0.0,0.0,0.0,
82464ce3,Salis Abdul Samed,MF,fr Lens,0.36,0.0,0.0,0.0,
b96b595c,Francesco Acerbi,DF,it Inter,0.24,0.0,0.0,0.0,
4dd2a0be,Elias Achouri,"FW,MF",dk FC Copenhagen,1.63,0.33,20.0,0.0,0.0
81442ecb,Marcos Acuña,DF,es Sevilla,0.91,0.0,0.0,0.0,
501055d8,Karim Adeyemi,FW,de Dortmund,1.85,1.06,57.1,0.29,0.5
26777636,Yacine Adli,MF,it Milan,1.46,0.0,0.0,0.0,
3dd738a1,Ruben Aguilar,DF,fr Lens,0.0,0.0,,,
89ac64a6,Manuel Akanji,"DF,MF",eng Manchester City,0.58,0.39,66.7,0.67,1.0
eaeca114,Nathan Aké,"DF,MF",eng Manchester City,0.94,0.47,50.0,0.0,0.0
f28659fb,Kerem Aktürkoğlu,"MF,FW",tr Galatasaray,3.68,1.23,33.3,0.11,0.33
05439de2,David Alaba,DF,es Real Madrid,1.44,0.0,0.0,0.0,
5294a83f,Luis Alberto,MF,it Lazio,1.96,0.42,21.4,0.0,0.0
f7d50789,Toby Alderweireld,DF,be Antwerp,1.8,0.8,44.4,0.0,0.0
f8405304,Mohamed Ali Cho,"FW,MF",es Real Sociedad,0.69,0.69,100.0,0.0,0.0
862a1c15,Miguel Almirón,FW,eng Newcastle Utd,2.62,0.65,25.0,0.08,0.33
f4290206,Marcos Alonso,"DF,FW",es Barcelona,0.65,0.65,100.0,0.0,0.0
414b2ce4,Barış Alper Yılmaz,"FW,MF",tr Galatasaray,0.71,0.0,0.0,0.0,
15ab5a2b,Julián Álvarez,"MF,FW",eng Manchester City,5.08,3.27,64.3,0.36,0.56
24fc70d3,Mohamed Aly Camara,DF,ch Young Boys,0.0,0.0,,,
bc62d898,Forson Amankwah,"MF,FW",at RB Salzburg,3.97,0.0,0.0,0.0,
1227a22d,Aurele Amenda,DF,ch Young Boys,0.57,0.29,50.0,0.0,0.0
5a2cb25d,Sofyan Amrabat,"MF,DF",eng Manchester Utd,0.28,0.28,100.0,0.0,0.0
de31038e,Elliot Anderson,MF,eng Newcastle Utd,0.0,0.0,,,
9f1893b9,Felipe Anderson,FW,it Lazio,1.49,0.17,11.1,0.0,0.0
30941e96,Angeliño,DF,tr Galatasaray,0.0,0.0,,,
df525574,Peter Ankersen,DF,dk FC Copenhagen,0.77,0.0,0.0,0.0,
99127249,Antony,FW,eng Manchester Utd,0.78,0.0,0.0,0.0,
dc7a172e,Jon Aramburu,DF,es Real Sociedad,0.0,0.0,,,
2bef2bca,Ronald Araújo,DF,es Barcelona,1.0,0.0,0.0,0.0,
0fa11d7d,Tomás Araújo,DF,pt Benfica,0.0,0.0,,,
